Latitude	Longitude	ISO2	Timezone	State	ZipCode	City
49.214089	6.944310	FR	Europe/Paris	Lorraine	57350	Stiring-Wendel
49.241065	6.991018	DE	Europe/Berlin	Saarland	66111	Saarbrücken
49.273220	11.456985	DE	Europe/Berlin	Free State of Bavaria	92318	Neumarkt
49.291351	8.664145	DE	Europe/Berlin	Baden-Württemberg	69168	Wiesloch
49.298030	10.578236	DE	Europe/Berlin	Free State of Bavaria	91522	Ansbach
49.328081	7.337031	DE	Europe/Berlin	Saarland	66424	Homburg
49.349556	8.140757	DE	Europe/Berlin	Rhineland-Palatinate	67434	Neustadt
49.403563	8.675444	DE	Europe/Berlin	Baden-Württemberg	69115	Heidelberg
49.416283	7.565932	DE	Europe/Berlin	Rhineland-Palatinate	66849	Landstuhl
49.436140	7.768711	DE	Europe/Berlin	Rhineland-Palatinate	67655	Kaiserslautern
49.445615	11.082989	DE	Europe/Berlin	Free State of Bavaria	90402	Nuremberg
49.450748	11.077955	DE	Europe/Berlin	Free State of Bavaria	90402	Nuremberg
49.453220	10.273537	DE	Europe/Berlin	Free State of Bavaria	91605	Gallmersgarten
49.469706	10.989987	DE	Europe/Berlin	Free State of Bavaria	90762	Fürth
49.477985	8.433400	DE	Europe/Berlin	Rhineland-Palatinate	67059	Ludwigshafen am Rhein
49.479351	8.468917	DE	Europe/Berlin	Baden-Württemberg	68163	Mannheim
49.553306	8.665349	DE	Europe/Berlin	Baden-Württemberg	69469	Weinheim
49.595896	11.001906	DE	Europe/Berlin	Free State of Bavaria	91054	Erlangen
49.599717	6.134391	LU	Europe/Luxembourg	-	1616	Luxembourg
49.634937	8.356444	DE	Europe/Berlin	Rhineland-Palatinate	67547	Worms
49.641553	8.633374	DE	Europe/Berlin	Hesse	64646	Heppenheim
49.681330	8.616717	DE	Europe/Berlin	Hesse	64625	Bensheim
49.801794	9.935777	DE	Europe/Berlin	Free State of Bavaria	97070	Würzburg
49.872503	8.629635	DE	Europe/Berlin	Hesse	64293	Darmstadt
49.900757	10.899492	DE	Europe/Berlin	Free State of Bavaria	96050	Bamberg
49.968724	7.884258	DE	Europe/Berlin	Rhineland-Palatinate	55411	Bingen am Rhein
49.976886	7.915415	DE	Europe/Berlin	Hesse	65385	Rüdesheim am Rhein
49.980554	9.143692	DE	Europe/Berlin	Free State of Bavaria	63739	Aschaffenburg
49.985327	7.867359	DE	Europe/Berlin	Hesse	65385	Rüdesheim am Rhein
50.001112	8.258722	DE	Europe/Berlin	Rhineland-Palatinate	55116	Mainz
50.025437	15.214278	CZ	Europe/Prague	Central Bohemia	28002	Kolín
50.027558	8.121529	DE	Europe/Berlin	Hesse	65343	Eltville am Rhein
50.031738	15.756211	CZ	Europe/Prague	Northeast	53009	Pardubice
50.051209	8.570971	DE	Europe/Berlin	Hesse	60549	Frankfurt
50.051218	8.571250	DE	Europe/Berlin	Hesse	60549	Frankfurt
50.053169	8.570180	DE	Europe/Berlin	Hesse	60549	Frankfurt
50.070788	8.243728	DE	Europe/Berlin	Hesse	65189	Wiesbaden
50.081925	14.451481	CZ	Europe/Prague	Prague	13000	Prague
50.083058	14.436037	CZ	Europe/Prague	Prague	12000 Praha 7	Prague
50.099265	8.760743	DE	Europe/Berlin	Hesse	63065	Offenbach am Main
50.099364	8.686456	DE	Europe/Berlin	Hesse	60594	Frankfurt
50.107149	8.663785	DE	Europe/Berlin	Hesse	60329	Frankfurt
50.110214	14.440010	CZ	Europe/Prague	Prague	17000	Prague
50.118862	8.639334	DE	Europe/Berlin	Hesse	60486	Frankfurt
50.120956	8.929003	DE	Europe/Berlin	Hesse	63450	Hanau
50.146450	11.059473	DE	Europe/Berlin	Free State of Bavaria	96215	Lichtenfels
50.231416	7.586104	DE	Europe/Berlin	Rhineland-Palatinate	56154	Boppard
50.332607	8.762055	DE	Europe/Berlin	Hesse	61169	Friedberg
50.341174	9.510038	DE	Europe/Berlin	Hesse	36381	Schlüchtern
50.350927	7.588342	DE	Europe/Berlin	Rhineland-Palatinate	56068	Koblenz
50.382498	8.096107	DE	Europe/Berlin	Hesse	65552	Limburg
50.434545	7.404837	DE	Europe/Berlin	Rhineland-Palatinate	56626	Andernach
50.444838	7.825334	DE	Europe/Berlin	Rhineland-Palatinate	56410	Montabaur
50.554722	9.683980	DE	Europe/Berlin	Hesse	36037	Fulda
50.577213	7.229781	DE	Europe/Berlin	Rhineland-Palatinate	53424	Remagen
50.579056	8.661466	DE	Europe/Berlin	Hesse	35392	Gießen
50.624361	5.566480	BE	Europe/Brussels	Wallonia	4000	Liège
50.650313	11.374986	DE	Europe/Berlin	Thuringia	07318	Saalfeld/Saale
50.659563	14.044728	CZ	Europe/Prague	Northwest	40003	Ústí nad Labem
50.673272	9.762456	DE	Europe/Berlin	Hesse	36088	Hünfeld
50.731917	6.045407	DE	Europe/Berlin	North Rhine-Westphalia	52074	Aachen
50.732007	7.097136	DE	Europe/Berlin	North Rhine-Westphalia	53111	Bonn
50.738479	7.127654	DE	Europe/Berlin	North Rhine-Westphalia	53225	Bonn
50.767802	6.091495	DE	Europe/Berlin	North Rhine-Westphalia	52064	Aachen
50.773411	14.201248	CZ	Europe/Prague	Northwest	40502	Děčín
50.793916	7.203029	DE	Europe/Berlin	North Rhine-Westphalia	53721	Siegburg
50.809512	6.482454	DE	Europe/Berlin	North Rhine-Westphalia	52353	Düren
50.819274	8.775017	DE	Europe/Berlin	Hesse	35037	Marburg
50.825432	9.015281	DE	Europe/Berlin	Hesse	35260	Stadtallendorf
50.835374	4.335695	BE	Europe/Brussels	Brussels-Capital	1060	Saint-Gilles - Sint-Gillis
50.860058	14.222130	DE	Europe/Berlin	Saxony	01814	Reinhardtsdorf-Schöna
50.860238	4.361458	BE	Europe/Brussels	Brussels-Capital	1030	Schaerbeek - Schaarbeek
50.869632	9.716179	DE	Europe/Berlin	Hesse	36251	Bad Hersfeld
50.870917	6.094488	DE	Europe/Berlin	North Rhine-Westphalia	52134	Herzogenrath
50.878900	7.119303	DE	Europe/Berlin	North Rhine-Westphalia	51147	Grengel
50.883943	11.593540	DE	Europe/Berlin	Thuringia	07745	Jena
50.910659	9.185672	DE	Europe/Berlin	Hesse	34613	Schwalmstadt
50.918839	14.139321	DE	Europe/Berlin	Saxony	01814	Bad Schandau
50.924008	11.582726	DE	Europe/Berlin	Thuringia	07743	Jena
50.924853	11.587464	DE	Europe/Berlin	Thuringia	07743	Jena
50.939074	10.712570	DE	Europe/Berlin	Thuringia	99867	Gotha
50.940871	6.975000	DE	Europe/Berlin	North Rhine-Westphalia	50679	Cologne
50.941312	6.967206	DE	Europe/Berlin	North Rhine-Westphalia	50667-51149	Cologne
50.941716	6.974065	DE	Europe/Berlin	North Rhine-Westphalia	50667-51149	Cologne
50.943029	6.958729	DE	Europe/Berlin	North Rhine-Westphalia	50667	Cologne
50.961034	6.124521	DE	Europe/Berlin	North Rhine-Westphalia	52511	Geilenkirchen
50.969565	9.797783	DE	Europe/Berlin	Hesse	36179	Bebra
50.972549	11.038501	DE	Europe/Berlin	Thuringia	99084	Erfurt
50.976918	10.331985	DE	Europe/Berlin	Thuringia	99817	Eisenach
50.991490	11.326462	DE	Europe/Berlin	Thuringia	99423	Weimar
51.030943	11.526139	DE	Europe/Berlin	Thuringia	99510	Apolda
51.040562	13.732038	DE	Europe/Berlin	Saxony	01069	Dresden
51.065902	13.740704	DE	Europe/Berlin	Saxony	01097	Dresden
51.103136	9.358040	DE	Europe/Berlin	Hesse	34590	Wabern
51.122813	13.579410	DE	Europe/Berlin	Saxony	01640	Coswig
51.160766	7.004187	DE	Europe/Berlin	North Rhine-Westphalia	42697	Suppenheide
51.163031	6.439566	DE	Europe/Berlin	North Rhine-Westphalia	41236	Rheydt
51.163067	11.796984	DE	Europe/Berlin	Saxony-Anhalt	06618	Naumburg
51.196579	6.446110	DE	Europe/Berlin	North Rhine-Westphalia	41061	Mönchengladbach
51.204354	6.684522	DE	Europe/Berlin	North Rhine-Westphalia	41460	Neuss
51.204615	11.970925	DE	Europe/Berlin	Saxony-Anhalt	06667	Weißenfels
51.219960	6.794316	DE	Europe/Berlin	North Rhine-Westphalia	40210	Düsseldorf
51.254361	7.149543	DE	Europe/Berlin	North Rhine-Westphalia	42119	Elberfeld
51.254946	6.403897	DE	Europe/Berlin	North Rhine-Westphalia	41747	Viersen
51.277706	6.767286	DE	Europe/Berlin	North Rhine-Westphalia	40474	Düsseldorf
51.292008	6.786837	DE	Europe/Berlin	North Rhine-Westphalia	40474	Düsseldorf
51.309654	13.287737	DE	Europe/Berlin	Saxony	01587	Riesa
51.313115	9.446898	DE	Europe/Berlin	Hesse	34131	Kassel
51.315946	9.470378	DE	Europe/Berlin	Hesse	34119	Kassel
51.325718	6.569883	DE	Europe/Berlin	North Rhine-Westphalia	47798	Krefeld
51.340999	6.192578	de	Europe/Amsterdam	North Rhine-Westphalia	41334	Nettetal
51.346546	12.383333	DE	Europe/Berlin	Saxony	04103	Leipzig
51.362744	7.460246	DE	Europe/Berlin	North Rhine-Westphalia	58089	Hagen
51.364407	6.171840	NL	Europe/Amsterdam	Province of Limburg	5913AA	Venlo
