Flags	ID	Name	Latitude	Longitude
NDRG	8000096	Stuttgart Hbf	48.784081	9.181636
NDR	8000098	Essen Hbf	51.451351	7.014795
ND	8000101	Eutingen im Gäu	48.479949	8.782236
NDR	8000103	Flensburg	54.774043	9.436525
NDR	8000105	Frankfurt(Main)Hbf	50.107149	8.663785
NDR	8000107	Freiburg(Breisgau) Hbf	47.997695	7.841173
NDR	8000108	Freilassing	47.836914	12.977196
NDR	8000111	Friedberg(Hess)	50.332607	8.762055
NDR	8000112	Friedrichshafen Stadt	47.653220	9.473902
ND	8000114	Fürth(Bay)Hbf	49.469706	10.989987
NDR	8000115	Fulda	50.554722	9.683980
NDR	8000116	Traunstein	47.869725	12.638797
NDRG	8000118	Gelsenkirchen Hbf	51.504900	7.102458
NDR	8000122	Treuchtlingen	48.961267	10.908158
NDR	8000124	Gießen	50.579056	8.661466
NDR	8000127	Göppingen	48.700022	9.651969
NDRG	8000128	Göttingen	51.536811	9.926068
ND	8000129	Schwalmstadt-Treysa	50.910659	9.185672
NDR	8000129	Treysa	50.910659	9.185672
NDR	8000139	Günzburg	48.460334	10.278652
NDR	8000141	Tübingen Hbf	48.515807	9.055409
NDR	8000142	Hagen Hbf	51.362744	7.460246
NDR	8000147	Hamburg-Harburg	53.455909	9.991698
NDR	8000149	Hamm(Westf)	51.678077	7.807823
NDR	8000150	Hanau Hbf	50.120956	8.929003
R	8000151	Bad Bentheim(Gr)	52.309111	7.039758
NDRG	8000152	Hannover Hbf	52.376763	9.741016
NDR	8000155	Heide(Holst)	54.193564	9.101029
NDR	8000156	Heidelberg Hbf	49.403563	8.675444
NDR	8000159	Helmstedt	52.222086	11.010554
NDR	8000162	Herford	52.119609	8.663641
NDR	8000163	Tuttlingen	47.980580	8.798542
NDR	8000168	Uelzen	52.969782	10.553057
NDR	8000169	Hildesheim Hbf	52.160627	9.953494
NDRG	8000170	Ulm Hbf	48.399432	9.982224
NDR	8000174	Viersen	51.254946	6.403897
NDR	8000176	Homburg(Saar)Hbf	49.328081	7.337031
NDR	8000177	Horb	48.441475	8.688982
NDR	8000181	Husum	54.472275	9.055022
NDR	8000182	Immendingen	47.936002	8.729532
NDRG	8000183	Ingolstadt Hbf	48.744537	11.437335
NDR	8000189	Kaiserslautern Hbf	49.436140	7.768711
ND	8000191	Carlsruhe	48.993511	8.402181
NDRG	8000191	Karlsruhe Hbf	48.993511	8.402181
ND	8000192	Herne-WanneEickelHbf	51.531256	7.165787
NDR	8000192	Wanne-Eickel Hbf	51.531256	7.165787
NDR	8000194	Kaufbeuren	47.875433	10.629492
NDR	8000196	Warburg(Westf)	51.492953	9.163846
NDR	8000197	Kempten(Allgäu)Hbf	47.711748	10.317611
NDR	8000199	Kiel Hbf	54.314982	10.131975
ND	8000206	Coblence	50.350927	7.588342
NDR	8000206	Koblenz Hbf	50.350927	7.588342
ND	8000207	Colonia(Köln)	50.943029	6.958729
NDRG	8000207	Köln Hbf	50.943029	6.958729
NDR	8000211	Krefeld Hbf	51.325718	6.569883
NDR	8000213	Kreiensen	51.851425	9.967796
NDR	8000225	Leer(Ostfriesl)	53.231647	7.465280
ND	8000228	Lichtenfels	50.146450	11.059473
R	8000228	Lichtenfels	50.146450	11.059473
NDR	8000230	Lindau Hbf	47.544342	9.680465
NDR	8000235	Ludwigsburg	48.891861	9.185420
NDR	8000236	Ludwigshafen(Rh)Hbf	49.477985	8.433400
NDR	8000237	Lübeck Hbf	53.867543	10.669818
NDR	8000238	Lüneburg	53.249652	10.419891
NDR	8000240	Mainz Hbf	50.001112	8.258722
NDRG	8000244	Mannheim Hbf	49.479351	8.468917
NDR	8000249	Memmingen	47.985578	10.186854
NDR	8000250	Wiesbaden Hbf	50.070788	8.243728
NDR	8000252	Minden(Westf)	52.290134	8.934729
NDR	8000253	Mönchengladbach Hbf	51.196579	6.446110
NDR	8000257	Worms Hbf	49.634937	8.356444
NDR	8000259	Mülheim(Ruhr)Hbf	51.431341	6.886510
NDR	8000260	Würzburg Hbf	49.801794	9.935777
NDR	8000261	München Hbf	48.140228	11.558338
NDR	8000262	München Ost	48.127437	11.604975
NDR	8000263	Münster(Westf)Hbf	51.956563	7.635716
NDR	8000266	Wuppertal Hbf	51.254361	7.149543
NDR	8000271	Neumünster	54.075752	9.979815
NDR	8000274	Neuss Hbf	51.204354	6.684522
NDR	8000275	Neustadt(Weinstr)Hbf	49.349556	8.140757
NDR	8000279	Nienburg(Weser)	52.645568	9.217754
ND	8000281	Frankfurt(M)Flughafen	50.051209	8.570971
NDR	8000283	Northeim(Han)	51.703139	9.986620
NDRG	8000284	Nürnberg Hbf	49.445615	11.082989
NDR	8000286	Oberhausen Hbf	51.474876	6.851587
NDR	8000290	Offenburg	48.476479	7.946724
NDR	8000291	Oldenburg(Oldb)	53.144325	8.222711
NDR	8000294	Osnabrück Hbf	52.272848	8.061777
NDR	8000297	Paderborn Hbf	51.712982	8.740508
NDR	8000298	Passau Hbf	48.573634	13.450775
NDR	8000299	Pforzheim Hbf	48.894154	8.703095
NDR	8000301	Plattling	48.779622	12.863941
NDR	8000302	Plochingen	48.713084	9.410807
NDR	8000306	Rastatt	48.860480	8.215619
NDR	8000307	Recklinghausen Hbf	51.616357	7.203487
NDR	8000309	Regensburg Hbf	49.011669	12.099615
NDR	8000310	Remagen	50.577213	7.229781
NDR	8000312	Rendsburg	54.302262	9.671134
NDR	8000314	Reutlingen Hbf	48.496075	9.209116
NDR	8000316	Rheine	52.276300	7.434258
ND	8000318	Mönchengladbach-Rhy	51.163031	6.439566
NDR	8000318	Rheydt Hbf	51.163031	6.439566
NDR	8000320	Rosenheim	47.850020	12.119202
NDR	8000322	Rottweil	48.165299	8.639298
NDRG	8000323	Saarbrücken Hbf	49.241065	6.991018
NDR	8000329	Schwäbisch Gmünd	48.801007	9.787796
NDR	8000331	Andernach	50.434545	7.404837
NDR	8000333	Hausach	48.284928	8.181666
NDR	8000337	Marburg(Lahn)	50.819274	8.775017
NDR	8000339	Mühlacker	48.953195	8.846104
NDRG	8000349	Offenbach(Main)Hbf	50.099265	8.760743
NDR	8000366	Villingen(Schwarzw)	48.058022	8.465258
NDR	8000368	Wabern(Bz Kassel)	51.103136	9.358040
NDR	8000377	Weinheim(Bergstr)	49.553306	8.665349
NDR	8000385	Gunzenhausen	49.120448	10.755467
R	8000403	Aachen Süd(Gr)	50.731917	6.045407
N	8000459	Ainring	47.815034	12.964503
NR	8000483	Alfeld(Leine)	51.981418	9.817775
NDR	8000522	Hude	53.109429	8.460952
NDR	8000571	Lippstadt	51.670688	8.348785
N	8000635	Assmannshausen	49.985327	7.867359
R	8000635	Assmannshausen	49.985327	7.867359
NDR	8000664	Augustfehn	53.220886	7.759659
NDR	8000667	Montabaur	50.444838	7.825334
ND	8000718	Krozingen Bad	47.919723	7.697633
NDR	8000718	Bad Krozingen	47.919723	7.697633
ND	8000732	Oeynhausen Bad	52.205393	8.796520
NDR	8000732	Bad Oeynhausen	52.205393	8.796520
ND	8000737	Bad Reichenhall	47.731165	12.881820
ND	8000737	Reichenhall Bad	47.731165	12.881820
ND	8000738	Bad Reichenhall-Kirchberg	47.718535	12.874000
ND	8000738	Reichenhall-Kir. Bad	47.718535	12.874000
ND	8000770	Zwischenahn Bad	53.182547	8.003123
NDR	8000770	Bad Zwischenahn	53.182547	8.003123
NDR	8000774	Baden-Baden	48.790328	8.190827
NDR	8000800	Norden	53.588195	7.218913
ND	8000831	Bayerisch Gmain	47.720378	12.895070
ND	8000879	Bentheim Bad	52.309848	7.158541
NDR	8000879	Bad Bentheim	52.309848	7.158541
NDR	8000880	Radolfzell	47.735875	8.968987
ND	8000885	Berchtesgaden Hbf	47.626683	12.999058
NDR	8000891	Schlüchtern	50.341174	9.510038
ND	8000935	Bevensen Bad	53.078246	10.574137
NDR	8000935	Bad Bevensen	53.078246	10.574137
ND	8000943	Biberach&amp;#x0028;Riß&amp;#x0029;	48.101844	9.793127
NDR	8000943	Biberach(Riß)	48.101844	9.793127
ND	8000997	Bischofswiesen	47.651889	12.960143
NDR	8001055	Böblingen	48.687761	9.004126
ND	8001083	Bonn-Beuel	50.738479	7.127654
R	8001083	Bonn-Beuel	50.738479	7.127654
ND	8001274	Burg(Fehmarn)	54.443590	11.188981
ND	8001274	Fehmarn-Burg	54.443590	11.188981
NDR	8001443	Diepholz	52.604775	8.380337
NDR	8001751	Ellwangen	48.964117	10.129683
ND	8001763	Eltville	50.027558	8.121529
R	8001763	Eltville	50.027558	8.121529
NDR	8001767	Emden Außenhafen	53.344470	7.186174
NDR	8001768	Emden Hbf	53.369038	7.195172
R	8001774	Emmerich(Gr)	51.901261	6.137358
ND	8001787	Endorf Bad	47.905061	12.301558
NDR	8001787	Bad Endorf	47.905061	12.301558
NDR	8001844	Erlangen	49.595896	11.001906
ND	8001920	Esslingen(Neckar)	48.738811	9.300077
NDR	8001995	Fischen	47.456590	10.271712
R	8002007	Flensburg(Gr)	54.806350	9.425540
R	8002021	Forbach(fr)	49.214089	6.944310
NDRG	8002041	Frankfurt(Main)Süd	50.099364	8.686456
ND	8002042	Frankfurt(Main)West	50.118862	8.639334
NDR	8002187	Garmisch-Partenkirchen	47.491450	11.097012
NDR	8002206	Geilenkirchen	50.961034	6.124521
NDR	8002218	Geislingen(Steige)	48.619353	9.841938
NDR	8002461	Gütersloh Hbf	51.906942	8.385074
ND	8002504	Haffkrug	54.054186	10.742684
ND	8002504	Scharbeutz-Haffkrug	54.054186	10.742684
NDR	8002548	Hamburg Dammtor	53.560751	9.989568
ND	8002549	Amburgo(Hamburg)	53.552732	10.006908
NDRG	8002549	Hamburg Hbf	53.552732	10.006908
NDR	8002553	Hamburg-Altona	53.552696	9.935174
NDR	8002554	Hamburg-Bergedorf	53.489835	10.206172
N	8002570	Ainring-Hammerau	47.795878	12.946129
ND	8002570	Hammerau	47.795878	12.946129
NDR	8002757	Heppenheim(Bergstr)	49.641553	8.633374
NDR	8002806	Herzogenrath	50.870917	6.094488
NDR	8003001	Hornberg(Schwarzw)	48.211890	8.232941
NDR	8003016	Hünfeld	50.673272	9.762456
NDR	8003036	Ibbenbüren	52.276866	7.721482
NDR	8003065	Immenstadt	47.559201	10.214002
NDR	8003102	Itzehoe	53.923870	9.510290
R	8003155	Venlo(Gr)	51.340999	6.192578
NDR	8003184	Karlsruhe-Durlach	49.002330	8.462822
NDR	8003200	Kassel-Wilhelmshöhe	51.313115	9.446898
ND	8003330	Bonn/Köln Flughafen	50.878900	7.119303
ND	8003330	CGN KölnBonn Airport	50.878900	7.119303
ND	8003330	Flughafen Köln/Bonn	50.878900	7.119303
NDR	8003330	Köln/Bonn Flughafen	50.878900	7.119303
ND	8003368	Cologne-Deutz foires	50.940871	6.975000
NDR	8003368	Köln Messe/Deutz	50.940871	6.975000
NDR	8003400	Konstanz	47.658757	9.177312
ND	8003487	LaatzenHannoverMesse	52.316895	9.792866
NDR	8003487	Hannover Messe/Laatzen	52.316895	9.792866
NDR	8003494	Lahr(Schwarzw)	48.340436	7.834737
NDR	8003515	Landstuhl	49.416283	7.565932
NDR	8003545	Langenhagen Mitte	52.440281	9.725429
NDRG	8003680	Limburg Süd	50.382498	8.096107
NDR	8003701	Lingen(Ems)	52.519863	7.321731
NDR	8003866	Marienhafe	53.520892	7.270727
NDR	8003930	Meckenbeuren	47.699757	9.558391
NDR	8003978	Meppen	52.696024	7.298018
NDR	8004009	Metzingen(Württ)	48.539727	9.290153
ND	8004043	Mittenwald	47.440031	11.265704
R	8004043	Mittenwald	47.440031	11.265704
NDR	8004124	Müllheim(Baden)	47.809740	7.599327
NDR	8004158	München-Pasing	48.149892	11.461489
NDR	8004185	Murnau	47.682264	11.192630
NDR	8004305	Neumarkt(Oberpf)	49.273220	11.456985
NDR	8004343	Niebüll	54.789603	8.834571
NDR	8004449	Norddeich	53.621581	7.160825
NDR	8004488	Nürtingen	48.628001	9.342650
NDR	8004506	Oberau	47.559273	11.139270
NDR	8004585	Oberstdorf	47.411032	10.278095
ND	8004610	Ocholt	53.202162	7.886470
NDR	8004610	Westerstede-Ocholt	53.202162	7.886470
NDR	8004669	Oldenburg(Holst)	54.283825	10.882835
NDR	8004751	Papenburg(Ems)	53.089707	7.386705
NDR	8004760	Peine	52.318945	10.232142
ND	8004815	Piding	47.759544	12.911530
NDR	8004885	Prien a Chiemsee	47.855513	12.346612
NDRG	8004903	Puttgarden	54.500366	11.226717
NDR	8004965	Ravensburg	47.784480	9.606097
ND	8005213	Rüdesheim(Rhein)	49.976886	7.915415
R	8005213	Rüdesheim(Rhein)	49.976886	7.915415
ND	8005321	Scharbeutz	54.018742	10.745759
NDR	8005362	Schleswig	54.499458	9.538139
NDR	8005424	Schorndorf	48.807147	9.526309
NDR	8005556	Siegburg/Bonn	50.793916	7.203029
ND	8005561	Sierksdorf	54.068524	10.769104
NDR	8005609	Sonthofen	47.513240	10.272342
ND	8005644	Georgen(Schwarzw) St	48.123814	8.341953
NDR	8005644	St Georgen(Schwarzw)	48.123814	8.341953
NDR	8005661	Stadtallendorf	50.825432	9.015281
ND	8005874	Timmendorferstrand	53.994210	10.762272
NDR	8005902	Triberg	48.140003	8.236806
NDR	8005927	Tutzing	47.907138	11.272886
NDR	8006053	Vaihingen(Enz)	48.948116	8.957633
NDR	8006076	Verden(Aller)	52.920818	9.237854
NDR	8006272	Weil am Rhein	47.593972	7.608415
ND	8006369	Sylt	54.906840	8.310922
NDR	8006369	Westerland(Sylt)	54.906840	8.310922
NDR	8006421	Wiesloch-Walldorf	49.291351	8.664145
NDR	8006552	Wolfsburg Hbf	52.429494	10.787783
ND	8006730	Ulm Neu	48.393041	10.004823
NDRG	8006730	Neu-Ulm	48.393041	10.004823
NDR	8007768	Norddeich Mole	53.624313	7.158802
NR	8010004	Angermünde	53.015222	13.996357
ND	8010018	Kleinen Bad	53.766972	11.466927
NDR	8010018	Bad Kleinen	53.766972	11.466927
ND	8010022	Schandau Bad	50.918839	14.139321
NDR	8010022	Bad Schandau	50.918839	14.139321
ND	8010033	Rügen	54.420497	13.417820
NDR	8010033	Bergen auf Rügen	54.420497	13.417820
NR	8010036	Berlin-Lichtenberg	52.509894	13.496925
NDR	8010050	Bitterfeld	51.622856	12.316848
NDR	8010060	Brandenburg Hbf	52.400558	12.566137
NDR	8010066	Bützow	53.837115	11.998190
ND	8010072	Coswig(b Dresden)	51.122813	13.579410
NDR	8010073	Cottbus	51.750952	14.324158
NDR	8010077	Dessau Hbf	51.839865	12.234948
NDR	8010085	Dresden Hbf	51.040562	13.732038
NDR	8010089	Dresden-Neustadt	51.065902	13.740704
NDR	8010093	Eberswalde Hbf	52.834018	13.797057
NDR	8010097	Eisenach	50.976918	10.331985
NDR	8010099	Elsterwerda	51.459675	13.516432
NDRG	8010101	Erfurt Hbf	50.972549	11.038501
NDR	8010113	Frankfurt(Oder)	52.336420	14.546497
NDR	8010133	Jena-Göschwitz	50.883943	11.593540
ND	8010136	Gotha Hbf	50.939074	10.712570
R	8010136	Gotha	50.939074	10.712570
NDRG	8010139	Greifswald	54.092921	13.370258
NDRG	8010159	Halle(Saale)Hbf	51.477509	11.987088
NDR	8010193	Königs Wusterhausen	52.296634	13.631476
NDR	8010195	Köthen	51.751932	11.989353
NDR	8010205	Leipzig Hbf	51.346546	12.383333
NDR	8010216	Ludwigslust	53.334672	11.494488
NDR	8010217	Lübben(Spreewald)	51.939735	13.877178
NDR	8010220	Lübbenau(Spreewald)	51.862167	13.960903
NDR	8010222	Lutherstadt Wittenberg	51.867812	12.662286
NDR	8010224	Magdeburg Hbf	52.130351	11.626890
NDR	8010240	Naumburg(Saale)Hbf	51.163067	11.796984
NDR	8010250	Neustrelitz Hbf	53.359257	13.074603
NDR	8010255	Berlin Ostbahnhof	52.510972	13.434567
NDR	8010268	Pasewalk	53.515355	13.988878
NDR	8010282	Prenzlau	53.321611	13.866535
NDR	8010297	Riesa	51.309654	13.287737
NDR	8010304	Rostock Hbf	54.078242	12.131077
ND	8010309	Saalfeld(Saale)	50.650313	11.374986
R	8010309	Saalfeld(Saale)	50.650313	11.374986
NDR	8010324	Schwerin Hbf	53.634741	11.407455
NDR	8010334	Stendal	52.594725	11.854407
NDR	8010338	Stralsund Hbf	54.308626	13.077318
NDR	8010355	Velgast	54.277317	12.803138
NDR	8010361	Waren(Müritz)	53.521513	12.680678
NDR	8010366	Weimar	50.991490	11.326462
NDR	8010368	Weißenfels	51.204615	11.970925
NDR	8010382	Wittenberge	53.003114	11.762870
NDR	8010396	Züssow	53.973877	13.548191
NDR	8010404	Berlin-Spandau	52.534470	13.197530
NDR	8010405	Berlin Wannsee	52.421053	13.179336
NR	8011044	Anklam	53.856100	13.701825
NR	8011051	Apolda	51.030943	11.526139
NDR	8011102	Berlin Gesundbrunnen	52.548961	13.388515
NDRG	8011113	Berlin Südkreuz	52.475042	13.365314
ND	8011160	BHBF	52.525589	13.369548
NDR	8011160	Berlin Hbf	52.525589	13.369548
ND	8011191	Binz (Rügen)	54.404820	13.600508
NDR	8011191	Ostseebad Binz	54.404820	13.600508
NDR	8011956	Jena Paradies	50.924853	11.587464
NDR	8012183	Leipzig/Halle Flughafen	51.423340	12.223423
ND	8012478	Leipzig Messe	51.396148	12.389274
ND	8012478	Neuwiederitzsch Messe Leipzig	51.396148	12.389274
NDR	8012666	Potsdam Hbf	52.391703	13.066782
N	8012683	Binz-Prora	54.444984	13.564057
NDR	8012683	Prora	54.444984	13.564057
NDR	8012763	Ribnitz-Damgarten West	54.239175	12.436962
ND	8013236	Warnemünde	54.176853	12.091273
R	8013236	Warnemünde	54.176853	12.091273
NR	8013470	Bernau(b Berlin)	52.675834	13.592292
NDR	8070003	Frankfurt(M) Flughafen Fernbf	50.053169	8.570180
NDR	8070004	Frankfurt(M) Flughafen Regionalbf	50.051218	8.571250
R	8073368	Köln Messe/Deutz Gl.11-12	50.941716	6.974065
R	8089124	Frankfurt(Oder)(Gr)	52.321174	14.576404
R	8089126	Schöna(Gr)	50.860058	14.222130
ND	8096003	BERLINO	52.520501	13.386987
ND	8096004	Iena	50.924008	11.582726
ND	8096004	JENA	50.924008	11.582726
ND	8096009	AMBURGO	53.557110	9.997434
ND	8096009	HAMBURG	53.557110	9.997434
ND	8096010	ELSTERWERDA-	51.459666	13.516827
ND	8096012	HANNOVER MESSE	52.323161	9.798206
ND	8096014	DÜSSELDORF FLUGHAFEN (DUS)	51.277706	6.767286
ND	8096014	Flughafen Düsseldorf	51.277706	6.767286
ND	8096021	FRANKFURT(MAIN)	50.107149	8.663785
ND	8096022	CÖLN	50.941312	6.967206
ND	8096022	KÖLN	50.941312	6.967206
ND	8096023	CASSEL	51.315946	9.470378
ND	8096023	KASSEL	51.315946	9.470378
ND	8096025	NÜRNBERG	49.450748	11.077955
R	8098160	Berlin Hbf (tief)	52.525589	13.369548
R	8098262	München Hbf Gl.5-10	48.140093	11.555372
NDR	8100001	Kufstein	47.583077	12.165551
NDRG	8100002	Salzburg Hbf	47.813048	13.045820
NDR	8100004	Wien Hbf (Autoreisezuganlage)	48.176626	16.392872
ND	8100008	Pölten Hbf St	48.208304	15.624672
NDR	8100008	St.Pölten Hbf	48.208304	15.624672
NDR	8100012	Amstetten NÖ	48.121603	14.878109
NDR	8100013	Linz Hbf	48.290177	14.292129
NDR	8100014	Wels Hbf	48.166081	14.026570
NR	8100017	Attnang-Puchheim	48.012797	13.720721
NDR	8100040	Hallein	47.685167	13.099431
NDR	8100041	Golling-Abtenau	47.600579	13.164082
NDR	8100042	Bischofshofen	47.417855	13.219887
ND	8100043	Johann im Pongau St	47.348377	13.194960
NDR	8100043	St. Johann im Pongau	47.348377	13.194960
NDR	8100044	Schwarzach-St.Veit	47.318533	13.154463
NDR	8100048	Zell am See	47.320520	12.796567
NDR	8100049	Saalfelden	47.426853	12.829764
NDR	8100052	Hochfilzen	47.467709	12.626527
NDR	8100053	Fieberbrunn	47.491135	12.528940
ND	8100054	Johann in Tirol St	47.519622	12.430778
NDR	8100054	St. Johann in Tirol	47.519622	12.430778
NDR	8100055	Kitzbühel	47.454109	12.391045
NDR	8100057	Kirchberg in Tirol	47.448922	12.309100
NDR	8100058	Westendorf in Tirol	47.441110	12.222902
NDR	8100059	Hopfgarten im Brixental	47.455349	12.149181
NDR	8100060	Telfs-Pfaffenhofen	47.300708	11.078872
R	8100061	Ötztal	47.238484	10.859113
NDR	8100062	Imst-Pitztal	47.219077	10.761669
NDR	8100063	Landeck-Zams	47.148242	10.578388
ND	8100064	Anton am Arlberg St	47.127566	10.266993
NDR	8100064	St. Anton am Arlberg	47.127566	10.266993
NDR	8100065	Langen am Arlberg	47.131719	10.120370
